date,weekday,open,close,high,low,openNow,openNowFake,openForward,OpenM1
2023-02-03,(週五),1.2223,1.2051,1.2266,1.2046,1.2038,1.2373,,1.2038
2023-02-06,(週一),1.2038,1.2015,1.2077,1.1990,1.2015,1.2223,,1.2015
2023-02-07,(週二),1.2015,1.2041,1.2095,1.1961,1.2032,1.2038,,1.2032
2023-02-08,(週三),1.2032,1.2054,1.2110,1.2031,1.2064,1.2015,,1.2064
2023-02-09,(週四),1.2064,1.2118,1.2194,1.2057,1.2117,1.2032,,1.2117
2023-02-10,(週五),1.2117,1.2058,1.2139,1.2047,1.2051,1.2064,,1.2051
2023-02-13,(週一),1.2051,1.2136,1.2152,1.2030,1.2133,1.2117,,1.2133
2023-02-14,(週二),1.2133,1.2167,1.2270,1.2117,1.2168,1.2051,,1.2168
2023-02-15,(週三),1.2168,1.2028,1.2182,1.1990,1.2031,1.2133,,1.2031
2023-02-16,(週四),1.2031,1.1981,1.2074,1.1965,1.1984,1.2168,,1.1984
